level_0,index,InChIKey,Solubility,SMILES,M,N_atoms,N_aroma_cycles,N_aroma_heterocycles,TPSA,logP,MP
62,62,AEIJTFQOBWATKX-UHFFFAOYSA-N,-1.2899752166,CCCCCCC(O)CO,146.23,28,0,0,40.46,1.3099999999999998,30.25
64,64,AELCINSCMGFISI-UHFFFAOYSA-N,-1.951286453066538,NC1CC1C1C=CC=CC=1,133.194,21,1,0,26.02,1.5011999999999999,79.5
66,66,AEMOLEFTQBMNLQ-UHFFFAOYSA-N,0.3976280459142272,OC1OC(C(O)C(O)C1O)C(O)=O,194.13899999999998,23,0,0,127.45000000000002,-3.1291000000000007,143.5
74,74,AFBRBXAHXXNJPE-UHFFFAOYSA-N,-3.2190264326881475,NC1NC2NCC(CNC3C=CC(=CC=3)C(=O)NC(CCC(O)=O)C(O)=O)N=C2C(=O)N=1,445.43600000000026,55,1,0,207.60000000000002,-1.670299999999993,215.5
80,80,AFFPZJFLSDVZBV-UHFFFAOYSA-N,-2.790252856977629,NS(=O)(=O)C1=CC=CC=C1C(F)(F)F,225.19099999999995,20,1,0,60.160000000000004,1.3528000000000002,182.0
81,81,AFGBRTKUTJQHIP-UHFFFAOYSA-N,-1.1146748845,CC(C)C(N1CCCNC1=O)C(O)=O,200.238,30,0,0,69.64000000000001,0.5108999999999999,176.5
82,82,AFGBRTKUTJQHIP-UHFFFAOYSA-N,-1.1132087198,CC(C)C(N1CCCNC1=O)C(O)=O,200.238,30,0,0,69.64000000000001,0.5108999999999999,176.5
83,83,AFGBRTKUTJQHIP-UHFFFAOYSA-N,-1.1072819828,CC(C)C(N1CCCNC1=O)C(O)=O,200.238,30,0,0,69.64000000000001,0.5108999999999999,176.5
84,84,AFGBRTKUTJQHIP-UHFFFAOYSA-N,-1.1028619258,CC(C)C(N1CCCNC1=O)C(O)=O,200.238,30,0,0,69.64000000000001,0.5108999999999999,176.5
85,85,AFGBRTKUTJQHIP-UHFFFAOYSA-N,-1.0921119166,CC(C)C(N1CCCNC1=O)C(O)=O,200.238,30,0,0,69.64000000000001,0.5108999999999999,176.5
86,86,AFINGIXRSWIXIG-UHFFFAOYSA-N,-6.768372857636003,CC(C1=CC(C2C=CC=CC=2)=C(O)C(=C1)C1C=CC=CC=1)(C1=CC(C2C=CC=CC=2)=C(O)C(=C1)C1C=CC=CC=1)C(F)(F)F,586.6530000000004,73,6,0,40.46,10.634099999999988,228.5
87,87,AFJWMGOTLUUGHF-UHFFFAOYSA-N,-1.974517726,O=C1NC(=O)C2=C1CCCC2,151.16499999999996,20,0,0,46.17,0.5133999999999999,191.6
88,88,AFJWMGOTLUUGHF-UHFFFAOYSA-N,-1.974510736418038,OC1=NC(=O)C2CCCCC=21,151.165,20,0,0,49.660000000000004,1.3537,191.6
94,94,AFSDNFLWKVMVRB-UHFFFAOYSA-N,-2.480283907856425,OC1C=C2C3C4C(OC2=O)=C(O)C(O)=CC=4C(=O)OC=3C=1O,302.194,28,2,2,141.34,1.3127999999999997,360.0
97,97,AFYCEAFSNDLKSX-UHFFFAOYSA-N,-3.975445789288461,CC1=CC(=O)OC2=CC(=CC=C12)N(CC)CC,231.29499999999996,34,1,1,33.45,2.9476200000000015,73.5
101,101,AFZTYHRVDOKRKV-UHFFFAOYSA-N,-1.623150885136366,CC(=O)NC1C=C(C=CC=1)C(C)=O,177.20299999999997,24,1,0,46.17,1.8476,127.75
102,102,AFZZFBZPHUDOLV-UHFFFAOYSA-N,-2.702803349,C(CNc1cccc2ccccc12)CN3CCOCC3,270.376,42,2,0,24.5,2.974000000000001,72.0
103,103,AFZZFBZPHUDOLV-UHFFFAOYSA-N,-2.7027927230941744,C(CCN1CCOCC1)NC1=CC=CC2=CC=CC=C21,270.37600000000003,42,2,0,24.5,2.974000000000001,72.0
107,107,AGEFUZCBLJQXIA-UHFFFAOYSA-N,-3.2626917327,CCCOC(=O)C1CCCCC1C(=O)OCCC,256.34199999999987,42,0,0,52.60000000000001,2.699200000000001,-42.5
108,108,AGEFUZCBLJQXIA-UHFFFAOYSA-N,-3.2626848739644663,CCCOC(=O)C1CCCCC1C(=O)OCCC,256.34199999999987,42,0,0,52.60000000000001,2.699200000000001,-42.5
110,110,AGKBXKFWMQLFGZ-UHFFFAOYSA-N,-6.798351882,Cc1ccc(cc1)C(=O)OOC(=O)c2ccc(C)cc2,270.284,34,2,0,52.6,3.232240000000002,134.8
111,111,AGKBXKFWMQLFGZ-UHFFFAOYSA-N,-6.7983454036752695,CC1C=CC(=CC=1)C(=O)OOC(=O)C1C=CC(C)=CC=1,270.284,34,2,0,52.6,3.232240000000002,134.8
113,113,AGNCPLAEUFOQPN-UHFFFAOYSA-N,-4.537138590285729,CC1C=CC=C(C)C=1OS(=O)(=O)C1C=CC(O)=CC=1,278.329,33,2,0,63.60000000000001,2.776740000000001,150.7
116,116,AGVNLFCRZULMKK-UHFFFAOYSA-N,-1.817914488,CC(=O)N1CCN(CC1)c2ccc(O)cc2,220.27200000000005,32,1,0,43.78,1.0606999999999998,182.5
117,117,AGVNLFCRZULMKK-UHFFFAOYSA-N,-1.7636940657222069,CC(=O)N1CCN(CC1)C1C=CC(O)=CC=1,220.27200000000005,32,1,0,43.78,1.0606999999999998,182.5
119,119,AHDSRXYHVZECER-UHFFFAOYSA-N,0.5055163708,CN(C)Cc1cc(CN(C)C)c(O)c(CN(C)C)c1,265.40099999999995,46,1,0,29.950000000000003,1.577,-20.149999999999977
120,120,AHEIXKCPMRMLRH-UHFFFAOYSA-N,-6.102523742017829,CC(C)(C)CC(C)CCN(CCC(C)CC(C)(C)C)C(S)=S,345.662,61,0,0,3.24,6.427900000000009,84.69
122,122,AHIPJALLQVEEQF-UHFFFAOYSA-N,-1.9192347247,C1OC1COc2ccc(cc2)N(CC3CO3)CC4CO4,277.32,39,1,0,50.06,1.0681999999999998,-39.53
123,123,AHIPJALLQVEEQF-UHFFFAOYSA-N,-1.919227949699924,C(C1CO1)N(CC1CO1)C1C=CC(=CC=1)OCC1CO1,277.32000000000005,39,1,0,50.06,1.0681999999999996,-39.53
124,124,AHLIZUWPYRQFHY-UHFFFAOYSA-N,-4.258586060153051,CC1C=CC(=CC=1)C1NC(C#N)=NC=1Cl,217.659,23,1,1,52.47,2.9102000000000006,152.14
127,127,AHSZBZTYLKTYJI-UHFFFAOYSA-N,-8.10933027580292,CC(C)(COC(=O)CCCCCCCC)COC(=O)CCCCCCCC,384.6010000000002,71,0,0,52.6,6.600200000000008,-9.6
129,129,AHZMUXQJTGRNHT-UHFFFAOYSA-N,-5.4695583775,CC(C)(c1ccc(OC#N)cc1)c2ccc(OC#N)cc2,278.311,35,2,0,66.03999999999999,3.732260000000003,80.72999999999999
130,130,AHZMUXQJTGRNHT-UHFFFAOYSA-N,-5.469549431771639,CC(C)(C1C=CC(=CC=1)OC#N)C1C=CC(=CC=1)OC#N,278.311,35,2,0,66.03999999999999,3.732260000000003,80.72999999999999
137,137,AIVXUNRQBRKFJO-UHFFFAOYSA-N,-3.494228425366483,NS(=O)(=O)C1=CC2SCCC(=O)C=2S1,249.33799999999994,21,0,1,77.23,1.0740000000000003,214.0
139,139,AIXZBGVLNVRQSS-UHFFFAOYSA-N,-7.634046793,CC(C)(C)c1ccc2oc(nc2c1)c3sc(cc3)c4oc5ccc(cc5n4)C(C)(C)C,430.5730000000002,57,2,3,52.06,7.959500000000005,200.6
140,140,AIXZBGVLNVRQSS-UHFFFAOYSA-N,-5.634046793,CC(C)(C)c1ccc2oc(nc2c1)c3sc(cc3)c4oc5ccc(cc5n4)C(C)(C)C,430.5730000000002,57,2,3,52.06,7.959500000000005,200.6
144,144,AIZPFZIKHIJCQX-UHFFFAOYSA-N,-5.7620064635,NC1=Nc2[nH]cc(CCc3ccc(cc3)C(O)=O)c2C(=O)N1,298.302,36,1,2,124.85999999999999,1.3168,300.875
145,145,AIZPFZIKHIJCQX-UHFFFAOYSA-N,-5.4064703034,NC1=Nc2[nH]cc(CCc3ccc(cc3)C(O)=O)c2C(=O)N1,298.302,36,1,2,124.85999999999999,1.3168,300.875
146,146,AIZPFZIKHIJCQX-UHFFFAOYSA-N,-3.5742890365,NC1=Nc2[nH]cc(CCc3ccc(cc3)C(O)=O)c2C(=O)N1,298.302,36,1,2,124.85999999999999,1.3168,300.875
147,147,AIZPFZIKHIJCQX-UHFFFAOYSA-N,-3.57428126398256,NC1NC2NC=C(CCC3C=CC(=CC=3)C(O)=O)C=2C(=O)N=1,298.3020000000001,36,1,2,124.86,1.3168000000000002,300.875
148,148,AIZPFZIKHIJCQX-UHFFFAOYSA-N,-2.0497745285,NC1=Nc2[nH]cc(CCc3ccc(cc3)C(O)=O)c2C(=O)N1,298.302,36,1,2,124.85999999999999,1.3168,300.875
151,151,AJEGVIFUBLHTHY-UHFFFAOYSA-N,-1.938257704736449,CC1=NN(C)C(O)=C1C(O)C1C=CC(=CC=1S(C)(=O)=O)C(F)(F)F,364.345,39,1,1,92.41999999999999,1.9381199999999998,201.0
154,154,AJQMFUYBFQQAKA-UHFFFAOYSA-N,-6.265379405869791,CCCC1CCC(CC1)C1CCC(CC1)C1C=CC(=CC=1)OC(F)(F)F,368.483,57,1,0,9.23,7.465500000000006,69.9
160,160,AKIIJALHGMKJEJ-UHFFFAOYSA-N,-2.5502978569,CC1CCCCC1OC(C)=O,156.225,27,0,0,26.3,2.1282000000000005,-31.6
161,161,AKIIJALHGMKJEJ-UHFFFAOYSA-N,-2.550289899096497,CC1CCCCC1OC(C)=O,156.225,27,0,0,26.3,2.1282000000000005,-31.6
169,169,AKNMPWVTPUHKCG-UHFFFAOYSA-N,-7.2758681545,Cc1cc(Cc2cc(C)cc(C3CCCCC3)c2O)c(O)c(c1)C4CCCCC4,392.5830000000002,65,2,0,40.46,7.400840000000007,134.1
170,170,AKNMPWVTPUHKCG-UHFFFAOYSA-N,-7.0624525724,Cc1cc(Cc2cc(C)cc(C3CCCCC3)c2O)c(O)c(c1)C4CCCCC4,392.5830000000002,65,2,0,40.46,7.400840000000007,134.1
171,171,AKNMPWVTPUHKCG-UHFFFAOYSA-N,-7.034887921490009,CC1C=C(CC2C=C(C)C=C(C3CCCCC3)C=2O)C(O)=C(C=1)C1CCCCC1,392.5830000000002,65,2,0,40.46,7.400840000000007,134.1
172,172,AKNMPWVTPUHKCG-UHFFFAOYSA-N,-7.0073441848,Cc1cc(Cc2cc(C)cc(C3CCCCC3)c2O)c(O)c(c1)C4CCCCC4,392.5830000000002,65,2,0,40.46,7.400840000000007,134.1
173,173,AKNMPWVTPUHKCG-UHFFFAOYSA-N,-6.9790342734,Cc1cc(Cc2cc(C)cc(C3CCCCC3)c2O)c(O)c(c1)C4CCCCC4,392.5830000000002,65,2,0,40.46,7.400840000000007,134.1
174,174,AKNMPWVTPUHKCG-UHFFFAOYSA-N,-5.736598993,Cc1cc(Cc2cc(C)cc(C3CCCCC3)c2O)c(O)c(c1)C4CCCCC4,392.5830000000002,65,2,0,40.46,7.400840000000007,134.1
177,177,AKVBCGQVQXPRLD-UHFFFAOYSA-N,-0.9232606282014448,CCCCCCC(N)C(O)=O,159.229,28,0,0,63.32,1.3687,265.0
180,180,ALEUVXQGVOQDBD-UHFFFAOYSA-N,-6.941963821560741,CCCCCC1CCC(CC1)C1CCC(CC1)C=C,262.48099999999994,53,0,0,0.0,6.365500000000007,51.4
182,182,ALHUZKCOMYUFRB-UHFFFAOYSA-N,-5.7438651202,CC1CCCCCCCCCCCCC(=O)C1,238.41499999999994,47,0,0,17.07,5.276500000000005,10.5
183,183,ALHUZKCOMYUFRB-UHFFFAOYSA-N,-5.7438538229505385,CC1CC(=O)CCCCCCCCCCCC1,238.4149999999999,47,0,0,17.07,5.276500000000005,10.5
187,187,ALMMLSQBERCMRB-UHFFFAOYSA-O,-5.939752118665619,CCNC1=CC=C(C(C2C=CC(=CC=2)N(CC)CC)=C2C=CC(C=C2)=[N+](CC)CC)C2C=CC=CC=21,478.70400000000024,76,3,0,18.28,7.539000000000008,300.0
191,191,ALRTZORJZUBQGM-UHFFFAOYSA-N,-5.261114525863425,COC1=CC2NC(=O)C(=O)NC=2C=C1[N+]([O-])=O,237.171,24,1,1,118.09,0.13319999999999976,168.0
192,192,ALSCPZRLSDLPES-UHFFFAOYSA-N,-7.128938702846168,CCC1C=CC(=CC=1)C1=CC=C(C2C=CC(CCC)=CC=2)C(F)=C1F,336.42499999999995,47,3,0,0.0,6.813700000000005,71.4
198,198,ALWUKGXLBSQSMA-UHFFFAOYSA-N,-2.6432618239,CCCCCCC1(C)CCC(=O)O1,184.27899999999997,33,0,0,26.3,3.052500000000002,-14.2
199,199,ALWUKGXLBSQSMA-UHFFFAOYSA-N,-2.643253101750577,CCCCCCC1(C)CCC(=O)O1,184.27899999999997,33,0,0,26.3,3.052500000000002,-14.2
200,200,ALXCWDABTQQKAH-UHFFFAOYSA-N,-4.7874700957,CCOCCCN[S](=O)(=O)c1ccc(Oc2cc(O)c3C(=O)c4ccccc4C(=O)c3c2N)cc1,496.5410000000003,59,3,0,145.02,3.2470000000000008,147.0
201,201,ALXCWDABTQQKAH-UHFFFAOYSA-N,-4.787462448689553,CCOCCCNS(=O)(=O)C1=CC=C(C=C1)OC1C=C(O)C2=C(C=1N)C(=O)C1C=CC=CC=1C2=O,496.54100000000034,59,3,0,145.01999999999998,3.2470000000000008,147.0
209,209,AMKVXSZCKVJAGH-UHFFFAOYSA-N,-3.4687414509459646,CNS(=O)(=O)CCC1C=C2C(=CNC2=CC=1)C1CCN(C)CC1,335.47300000000024,48,1,1,65.2,2.0687999999999995,246.0
213,214,AMZKGJLFYCZDMJ-UHFFFAOYSA-N,-7.102460965817475,CC(C)(COC(=O)CCCCCCCC=CCCCCCCCC)COC(=O)CCCCCCCC=CCCCCCCCC,633.0550000000001,121,0,0,52.6,13.173999999999976,-21.0
219,220,ANLQHFYDQPMDJY-UHFFFAOYSA-N,-0.915224889334957,N#CCC(=O)N1CCCCC1,152.19699999999997,23,0,0,44.1,0.91258,88.5
220,221,ANSXAPJVJOKRDJ-UHFFFAOYSA-N,-1.4062217243,O=C1OC(=O)c2cc3C(=O)OC(=O)c3cc12,218.11999999999995,18,1,2,94.56,-0.5045999999999998,286.0
221,222,ANSXAPJVJOKRDJ-UHFFFAOYSA-N,-1.3927347854,O=C1OC(=O)c2cc3C(=O)OC(=O)c3cc12,218.11999999999995,18,1,2,94.56,-0.5045999999999998,286.0
226,227,ANXBDAFDZSXOPQ-UHFFFAOYSA-N,-2.6613195143,COc1ccc(cc1[N+]([O-])=O)C(O)=O,197.146,21,1,0,89.66999999999999,1.3015999999999999,192.0
227,228,ANXBDAFDZSXOPQ-UHFFFAOYSA-N,-2.66131705187472,COC1=CC=C(C=C1[N+]([O-])=O)C(O)=O,197.146,21,1,0,89.66999999999999,1.3015999999999999,192.0
228,229,AOHJOMMDDJHIJH-UHFFFAOYSA-N,1.1300235759,CC(N)CN,74.127,15,0,0,52.04,-0.7077,-37.0
233,234,AOJOEFVRHOZDFN-UHFFFAOYSA-N,-2.9682045412,CC(=C)C(=O)OCc1ccccc1,176.215,25,1,0,26.3,2.3059000000000003,-22.0
234,235,AOJOEFVRHOZDFN-UHFFFAOYSA-N,-2.9681965971773603,CC(=C)C(=O)OCC1C=CC=CC=1,176.215,25,1,0,26.3,2.3059000000000003,-22.0
235,236,AOMUHOFOVNGZAN-UHFFFAOYSA-N,-5.458544349108273,CCCCCCCCCCCC(=O)N(CCO)CCO,287.444,53,0,0,60.77000000000001,2.720500000000001,38.7
238,239,AOQNDOQWDRFZEO-UHFFFAOYSA-N,-3.271661562042527,[O-][N+](=O)C1C(=NN2C=CC=CC2=1)OCCO,223.188,25,0,2,89.9,0.6135999999999997,165.6
239,240,AOXKMQKKNGSIBI-UHFFFAOYSA-N,-7.15780209849347,C=CC(=O)OCCCCCCC1C=CC(=CC=1)OC(=O)C1CCC(CC1)C(=O)OC1C=CC(CCCCCCOC(=O)C=C)=CC=1,632.7940000000003,94,2,0,105.20000000000002,7.668200000000009,85.6
242,243,APKFDSVGJQXUKY-UHFFFAOYSA-N,-3.0906478565262057,CC1C=CC=CC=CC=CC=CC=CC=CC(CC2OC(O)(CC(O)C2C(O)=O)CC(O)CC(O)C(O)CCC(O)CC(O)CC(=O)OC(C)C(C)C1O)OC1OC(C)C(O)C(N)C1O,924.0910000000002,138,0,0,319.60999999999996,0.7117000000000047,170.0
245,246,APTGDJCKNMNFID-UHFFFAOYSA-N,-1.5390317470021029,NS(=O)(=O)C1=CC2CC(O)CS(=O)(=O)C=2S1,283.352,25,0,1,114.53,-0.9138000000000002,174.0
247,248,AQALQDMWXUIMHX-UHFFFAOYSA-N,-2.924880804353967,CCC=CCCOC(=O)C1CC1,168.236,28,0,0,26.3,2.2959000000000005,-25.0
248,249,AQKYLAIZOGOPAW-UHFFFAOYSA-N,-2.5723367628140554,CC(C)(C)C(=O)OOC(C)(C)CC,188.26699999999997,33,0,0,35.53,2.695900000000001,-33.0
249,250,AQMKNVZQXJVVNL-UHFFFAOYSA-N,-1.978403026759972,CC1(CCC(=O)OCCCCOC(=O)CCC2(C)OC(C)CO2)OC(C)CO1,402.48400000000015,62,0,0,89.52000000000001,2.716400000000001,-20.0
254,255,AQYCMVICBNBXNA-UHFFFAOYSA-N,0.8352249535,CC(CCC(O)=O)C(O)=O,146.142,20,0,0,74.6,0.5719,76.0
255,256,AQYMRQUYPFCXDM-UHFFFAOYSA-N,-5.145117331703142,COC1=CC=CC=C1NC(=O)C1=CC2C=CC=CC=2C=C1O,293.322,37,3,0,58.56,3.8063000000000025,162.75
256,257,AQZGPSLYZOOYQP-UHFFFAOYSA-N,-3.7601070667,CC(C)CCOCCC(C)C,158.285,33,0,0,9.23,3.095200000000002,-77.5
257,258,ARAIBEBZBOPLMB-UHFFFAOYSA-N,-1.4619482269104571,CC(=O)NC1C(OC(=CC1NC(N)=N)C(O)=O)C(O)C(O)CO,332.31300000000005,43,0,0,198.21999999999997,-3.5758299999999976,256.0
259,260,ARGKVCXINMKCAZ-UHFFFAOYSA-N,-5.185845665609133,CC1OC(OC2C(OC(CO)C(O)C2O)OC2=CC(O)=C3C(=O)CC(OC3=C2)C2=CC(O)=C(C=C2)OC)C(O)C(O)C1O,610.5650000000005,77,2,0,234.28999999999996,-1.156600000000002,243.15
261,262,ARIWANIATODDMH-UHFFFAOYSA-N,-5.4383856897,CCCCCCCCCCCC(=O)OCC(O)CO,274.40099999999995,49,0,0,66.76,2.8037000000000014,63.0
262,263,ARIWANIATODDMH-UHFFFAOYSA-N,-4.6602344394,CCCCCCCCCCCC(=O)OCC(O)CO,274.40099999999995,49,0,0,66.76,2.8037000000000014,63.0
263,264,ARIWANIATODDMH-UHFFFAOYSA-N,-4.66022700260931,CCCCCCCCCCCC(=O)OCC(O)CO,274.40099999999995,49,0,0,66.76,2.8037000000000014,63.0
264,265,ARJWAURHQDJJAC-UHFFFAOYSA-N,-1.6213269024089,CC=CC(=O)C(C)CC,126.19899999999998,23,0,0,17.07,2.1776999999999997,-100.0
273,274,ASHVULSQMDWKFO-UHFFFAOYSA-N,-0.0227042741,COCc1oc(C=O)cc1,140.13799999999998,18,0,1,39.44,1.2385,-17.07499999999999
278,279,ASUAYTHWZCLXAN-UHFFFAOYSA-N,-0.128994642,CC(C)=CCO,86.134,16,0,0,20.23,0.9448999999999999,-72.65
279,280,ASUAYTHWZCLXAN-UHFFFAOYSA-N,0.68005840959727,CC(C)=CCO,86.134,16,0,0,20.23,0.9448999999999999,-72.65
280,281,ASVQNGFDDHFBPT-UHFFFAOYSA-N,-6.487212019618909,CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3C(O)CC2(C)C1C(=O)COC(=O)CCCC,460.5860000000004,70,0,0,80.66999999999999,4.377800000000004,207.0
287,288,ATFHWZMCQLSDJW-UHFFFAOYSA-N,-7.790164167659357,O=C(CC1C=CC(=CC=1)C1C=CC=CC=1)OCC1CCCCC1,308.4210000000001,47,2,0,26.3,5.019600000000004,71.225
288,289,ATGFTMUSEPZNJD-UHFFFAOYSA-N,-5.6839101049,Oc1c(cccc1c2ccccc2)c3ccccc3,246.30900000000003,33,3,0,20.23,4.726200000000004,101.0
289,290,ATGFTMUSEPZNJD-UHFFFAOYSA-N,-5.683899810510887,OC1C(=CC=CC=1C1C=CC=CC=1)C1C=CC=CC=1,246.30900000000003,33,3,0,20.23,4.726200000000004,101.0
290,291,ATGQXSBKTQANOH-UHFFFAOYSA-N,-4.764888095723829,CCCCCCCCCCCCCCC(O)C(O)C(CO)NC(=O)CCCCCCCC=CCCCCCCCC,581.9670000000002,112,0,0,89.78999999999999,9.314000000000005,101.05
294,295,ATHHXGZTWNVVOU-UHFFFAOYSA-N,1.2286477338,CNC=O,59.068000000000005,9,0,0,29.1,-0.6378000000000001,-3.8
296,297,ATNSJLDBJQDEBF-UHFFFAOYSA-N,-3.73524389303712,COC1C=C(C=C(OC)C=1OC)C=C(C(C)=O)C(C)=O,278.304,38,1,0,61.830000000000005,2.2738000000000005,81.80000000000001
299,300,ATPFMBHTMKBVLS-UHFFFAOYSA-N,-3.893727124006793,C(CCCCCN=CC=CC1C=CC=CC=1)N=CC=CC1C=CC=CC=1,344.50200000000007,54,2,0,24.72,6.115200000000007,90.37
307,308,ATXPWKWYLDEURI-UHFFFAOYSA-N,-7.6382805905,CCNc1cc(C#N)c(N)c2C(=O)c3ccccc3C(=O)c12,291.31,35,2,0,95.97999999999999,2.3476800000000004,236.7
308,309,ATXPWKWYLDEURI-UHFFFAOYSA-N,-7.638271669444222,CCNC1C=C(C#N)C(N)=C2C=1C(=O)C1C=CC=CC=1C2=O,291.31,35,2,0,95.97999999999999,2.3476800000000004,236.7
311,312,AUBLFWWZTFFBNU-UHFFFAOYSA-N,-3.201840184412056,CCC(C)C1C=C2C=CC=NC2=CC=1,185.26999999999998,29,1,1,12.89,3.748300000000002,-20.0
312,313,AUFZRCJENRSRLY-UHFFFAOYSA-N,-1.881357216913372,CC1C(O)=CC(C)=C(O)C=1C,152.19299999999998,23,1,0,40.46,2.02306,172.5
313,314,AUFZRCJENRSRLY-UHFFFAOYSA-N,-1.6383266335,Cc1cc(O)c(C)c(C)c1O,152.19299999999998,23,1,0,40.46,2.0230600000000005,172.5
321,322,AUJGRANHLVYNRP-UHFFFAOYSA-N,1.1635348981417268,CCCCOC(=O)C1CCCCC1C(=O)OCC1C=CC=CC=1,318.4129999999999,49,1,0,52.60000000000001,3.879500000000003,-10.04
322,323,AUVREZVTBBIYLI-UHFFFAOYSA-N,-2.449311790705427,CCCCOC1C=CC(C=NC2C=CC(CC)=CC=2)=CC=1,281.399,44,2,0,21.59,5.178500000000005,40.5
326,327,AVBJHQDHVYGQLS-UHFFFAOYSA-N,-2.500417310186312,CCCCCCCCCCCC(=O)NC(CCC(O)=O)C(O)=O,329.437,54,0,0,103.70000000000002,3.341500000000001,220.0
